,rnd_tree_00.graph,rnd_tree_01.graph,rnd_tree_02.graph,rnd_tree_03.graph,rnd_tree_04.graph,rnd_tree_05.graph,rnd_tree_06.graph,rnd_tree_07.graph,rnd_tree_08.graph,rnd_tree_09.graph,rnd_tree_10.graph,rnd_tree_11.graph,rnd_tree_12.graph,rnd_tree_13.graph,rnd_tree_14.graph,rnd_tree_15.graph,rnd_tree_16.graph,rnd_tree_17.graph,rnd_tree_18.graph,rnd_tree_19.graph,rnd_tree_20.graph,rnd_tree_21.graph,rnd_tree_22.graph,rnd_tree_23.graph,rnd_tree_24.graph,rnd_tree_25.graph,rnd_tree_26.graph,rnd_tree_27.graph,rnd_tree_28.graph,rnd_tree_29.graph,rnd_tree_30.graph,rnd_tree_31.graph,rnd_tree_32.graph,rnd_tree_33.graph,rnd_tree_34.graph,rnd_tree_35.graph,rnd_tree_36.graph,rnd_tree_37.graph,rnd_tree_38.graph,rnd_tree_39.graph,rnd_tree_40.graph,rnd_tree_41.graph,rnd_tree_42.graph,rnd_tree_43.graph,rnd_tree_44.graph,rnd_tree_45.graph,rnd_tree_46.graph,rnd_tree_47.graph,rnd_tree_48.graph,rnd_tree_49.graph
estimation,[1.2479029188352823e+72],[2.2187274846132633e+71],[2.162638410038009e+75],[1.527191819350265e+69],[9.149309570020281e+68],[4.071452530239711e+72],[8.106783959204957e+74],[6.64830985224001e+72],[2.797942145575229e+71],[4.411910658040406e+68],[8.334438214349404e+71],[9.789832625977005e+69],[5.806083312113666e+73],[3.4563938895573664e+71],[5.994281733778302e+68],[7.547998943922055e+71],[2.7038439785997515e+68],[3.4654959178064985e+70],[1.8871987263252733e+72],[9.725778952228408e+71],[1.5897075262267596e+73],[2.914272334568684e+67],[2.2802934069757423e+66],[4.7490584988538394e+70],[3.5768570400491126e+70],[1.1143828056145213e+72],[4.294934301043896e+70],[3.785045155879181e+69],[9.5359633247078e+69],[3.192541373315583e+71],[1.4126488937121628e+71],[2.4244928108065443e+66],[4.5381680084302534e+67],[1.7520530945677089e+71],[2.586733296802621e+69],[3.851876219898953e+67],[1.8767872580261928e+74],[6.822038160215049e+71],[2.275102499507993e+69],[1.312946462811969e+71],[4.352033881847541e+68],[7.508562504723684e+67],[5.402765821974158e+66],[5.98399431599647e+70],[1.7780918192827683e+72],[1.2215308284845232e+71],[1.4718231769183862e+71],[8.501315598139739e+73],[1.2884818583960663e+68],[2.0411877893539946e+72]
number,[12039],[31030],[13402],[27789],[23665],[11346],[12453],[23765],[22790],[36487],[13481],[25594],[32172],[30842],[45713],[30116],[36264],[12377],[23854],[35575],[12512],[22247],[10716],[11280],[22592],[20133],[24167],[54135],[11852],[34501],[24713],[23026],[24107],[12744],[20740],[26787],[11138],[24749],[31121],[19406],[33286],[33324],[22049],[40427],[10830],[28495],[19285],[31041],[20714],[22311]
not_null,[913],[1082],[1291],[1277],[902],[1068],[1076],[1071],[1121],[1041],[1160],[1142],[1093],[1072],[1114],[1141],[973],[1084],[1200],[1125],[1262],[936],[855],[826],[1148],[1031],[1160],[1263],[785],[1216],[1288],[952],[1073],[1090],[1055],[1282],[1200],[1179],[926],[993],[1086],[932],[1024],[1204],[966],[995],[912],[1027],[944],[1204]
