,rnd_tree_00.graph,rnd_tree_01.graph,rnd_tree_02.graph,rnd_tree_03.graph,rnd_tree_04.graph,rnd_tree_05.graph,rnd_tree_06.graph,rnd_tree_07.graph,rnd_tree_08.graph,rnd_tree_09.graph,rnd_tree_10.graph,rnd_tree_11.graph,rnd_tree_12.graph,rnd_tree_13.graph,rnd_tree_14.graph,rnd_tree_15.graph,rnd_tree_16.graph,rnd_tree_17.graph,rnd_tree_18.graph,rnd_tree_19.graph,rnd_tree_20.graph,rnd_tree_21.graph,rnd_tree_22.graph,rnd_tree_23.graph,rnd_tree_24.graph,rnd_tree_25.graph,rnd_tree_26.graph,rnd_tree_27.graph,rnd_tree_28.graph,rnd_tree_29.graph,rnd_tree_30.graph,rnd_tree_31.graph,rnd_tree_32.graph,rnd_tree_33.graph,rnd_tree_34.graph,rnd_tree_35.graph,rnd_tree_36.graph,rnd_tree_37.graph,rnd_tree_38.graph,rnd_tree_39.graph,rnd_tree_40.graph,rnd_tree_41.graph,rnd_tree_42.graph,rnd_tree_43.graph,rnd_tree_44.graph,rnd_tree_45.graph,rnd_tree_46.graph,rnd_tree_47.graph,rnd_tree_48.graph,rnd_tree_49.graph
estimation,[2.575108317401306e+53],[5.3634466458076365e+50],[5.330799193846266e+50],[6.779350509743811e+47],[1.6484977386920542e+50],[1.082446962706111e+51],[4.471792360263458e+50],[3.9418316115053396e+52],[1.9700122195008323e+49],[1.0511564876722049e+47],[2.3969828323921793e+54],[1.0268958033410537e+49],[3.843910418435513e+51],[1.1870675424657223e+50],[6.214331975920554e+49],[1.0790105239027524e+53],[2.658663430582816e+48],[1.47440625085182e+51],[4.297655559890781e+49],[1.895180978499407e+48],[3.090876648327769e+48],[2.884245887712839e+51],[1.7970081599426798e+50],[5.2373293806286125e+48],[4.221915975339372e+49],[1.4927459451145268e+50],[2.918073072167734e+53],[7.701831306948587e+53],[4.4382065828232566e+48],[9.620586447015124e+51],[7.805098493300779e+50],[1.481868433318255e+48],[2.496048972245562e+53],[1.0517618869049223e+51],[8.758038863403092e+51],[1.084312800866775e+49],[5.27632609953111e+50],[3.6901311293219322e+50],[4.72297281061279e+49],[7.73267943935963e+51],[9.37132819651268e+48],[4.2675619149638145e+48],[1.666954629840562e+51],[1.6881772421874288e+49],[3.584783992976004e+51],[1.5978948176651652e+50],[4.272747291245905e+50],[5.385994020076748e+51],[2.7171035472970583e+50],[1.2569306051969108e+54]
number,[269391],[221580],[217268],[227718],[524985],[196387],[332155],[233780],[185899],[268710],[219147],[219479],[301102],[196638],[228580],[357680],[292072],[318267],[260844],[327302],[235562],[223886],[222769],[237588],[224825],[233011],[201644],[293037],[210080],[281941],[239607],[213634],[251606],[209767],[330444],[206244],[244673],[195058],[258196],[234711],[222783],[245971],[205184],[241091],[276661],[237180],[253609],[259207],[239295],[259016]
not_null,[7493],[11810],[7605],[13746],[9684],[9919],[9291],[11186],[13739],[10213],[10378],[15836],[11412],[14905],[13255],[4320],[15082],[11760],[11897],[10149],[15168],[12727],[15261],[12598],[13335],[12363],[13697],[12251],[12049],[14278],[10066],[15769],[10400],[12585],[13629],[13119],[11944],[13779],[10770],[12232],[13362],[12882],[8785],[10254],[14994],[11328],[16395],[12190],[14335],[6077]
