,rnd_tree_00.graph,rnd_tree_01.graph,rnd_tree_02.graph,rnd_tree_03.graph,rnd_tree_04.graph,rnd_tree_05.graph,rnd_tree_06.graph,rnd_tree_07.graph,rnd_tree_08.graph,rnd_tree_09.graph,rnd_tree_10.graph,rnd_tree_11.graph,rnd_tree_12.graph,rnd_tree_13.graph,rnd_tree_14.graph,rnd_tree_15.graph,rnd_tree_16.graph,rnd_tree_17.graph,rnd_tree_18.graph,rnd_tree_19.graph,rnd_tree_20.graph,rnd_tree_21.graph,rnd_tree_22.graph,rnd_tree_23.graph,rnd_tree_24.graph,rnd_tree_25.graph,rnd_tree_26.graph,rnd_tree_27.graph,rnd_tree_28.graph,rnd_tree_29.graph,rnd_tree_30.graph,rnd_tree_31.graph,rnd_tree_32.graph,rnd_tree_33.graph,rnd_tree_34.graph,rnd_tree_35.graph,rnd_tree_36.graph,rnd_tree_37.graph,rnd_tree_38.graph,rnd_tree_39.graph,rnd_tree_40.graph,rnd_tree_41.graph,rnd_tree_42.graph,rnd_tree_43.graph,rnd_tree_44.graph,rnd_tree_45.graph,rnd_tree_46.graph,rnd_tree_47.graph,rnd_tree_48.graph,rnd_tree_49.graph
estimation,[5.384751638204464e+27],[1.68921600700207e+28],[8.569690754076378e+27],[2.3607596812480113e+28],[2.9459819067237937e+28],[2.873159246316176e+27],[1.6342661852170967e+27],[4.0139199217972414e+27],[8.333572317913074e+27],[1.0855122722996398e+28],[2.5912258629758166e+30],[1.4520372552452815e+28],[4.126220546762395e+28],[2.747214940623551e+28],[6.25892396907594e+26],[3.1575740144815043e+29],[1.8928899266339588e+28],[1.4762358251801517e+29],[7.070457028255343e+27],[4.473971463868995e+28],[9.001108338425698e+29],[3.5760270991614196e+26],[9.699754335487049e+26],[9.191344992792992e+30],[1.7874458811512068e+27],[1.720313939545639e+27],[1.3245466342866256e+28],[2.56816458740068e+29],[1.7838593493035572e+28],[4.187692685479746e+27],[1.3032054759753957e+30],[3.485074305769537e+27],[2.7290662455421717e+29],[2.9721495089591976e+27],[1.7182086636381832e+27],[9.910242597371524e+27],[1.631630463987966e+31],[4.266817167307174e+28],[5.466840301527541e+29],[1.421068664737646e+28],[3.605037927804117e+27],[8.42793981878442e+27],[4.184041792626799e+27],[1.454523878088871e+29],[3.0220861423159516e+28],[9.738880966313947e+28],[9.841318106962228e+26],[1.2909612135204652e+30],[2.743000637574185e+27],[5.052117559064633e+28]
number,[273886],[243049],[246719],[213960],[217180],[224865],[242962],[218489],[236699],[196766],[234463],[226799],[252144],[296903],[275313],[266790],[226540],[273004],[273727],[237541],[247960],[228875],[258154],[250171],[272075],[354827],[246076],[280537],[304104],[226818],[426942],[227172],[228713],[248962],[283555],[272276],[388452],[257844],[299024],[286672],[318460],[224683],[269192],[328703],[267484],[288395],[283047],[264813],[259248],[376303]
not_null,[72237],[75892],[53889],[70199],[73578],[63122],[59006],[54213],[67365],[65916],[72044],[58128],[68135],[68923],[76858],[64703],[69324],[61697],[68724],[70329],[64830],[77543],[68605],[59947],[66880],[70366],[64492],[47246],[78834],[62978],[45561],[68810],[71281],[82022],[77589],[71456],[77483],[66012],[69041],[68726],[70408],[71564],[65364],[61990],[63077],[63990],[74187],[57638],[72940],[61198]
