,rnd_tree_00.graph,rnd_tree_01.graph,rnd_tree_02.graph,rnd_tree_03.graph,rnd_tree_04.graph,rnd_tree_05.graph,rnd_tree_06.graph,rnd_tree_07.graph,rnd_tree_08.graph,rnd_tree_09.graph,rnd_tree_10.graph,rnd_tree_11.graph,rnd_tree_12.graph,rnd_tree_13.graph,rnd_tree_14.graph,rnd_tree_15.graph,rnd_tree_16.graph,rnd_tree_17.graph,rnd_tree_18.graph,rnd_tree_19.graph,rnd_tree_20.graph,rnd_tree_21.graph,rnd_tree_22.graph,rnd_tree_23.graph,rnd_tree_24.graph,rnd_tree_25.graph,rnd_tree_26.graph,rnd_tree_27.graph,rnd_tree_28.graph,rnd_tree_29.graph,rnd_tree_30.graph,rnd_tree_31.graph,rnd_tree_32.graph,rnd_tree_33.graph,rnd_tree_34.graph,rnd_tree_35.graph,rnd_tree_36.graph,rnd_tree_37.graph,rnd_tree_38.graph,rnd_tree_39.graph,rnd_tree_40.graph,rnd_tree_41.graph,rnd_tree_42.graph,rnd_tree_43.graph,rnd_tree_44.graph,rnd_tree_45.graph,rnd_tree_46.graph,rnd_tree_47.graph,rnd_tree_48.graph,rnd_tree_49.graph
estimation,[2.4506634432780727e+132],[1.0012112036664992e+132],[1.8669931450592348e+130],[2.9768860241527278e+131],[3.7849404770139886e+131],[1.4933373426406607e+130],[1.0907226062630586e+132],[2.5502845375312798e+131],[9.671547873870318e+129],[8.710832237549188e+132],[1.5266500597765153e+131],[1.5011892140443059e+131],[5.88890078342832e+132],[1.594251244897054e+131],[1.1910675370452072e+134],[6.963486521253677e+130],[6.137343073459294e+130],[1.9959424048627488e+131],[2.689669675818391e+131],[3.167968494506206e+134],[5.111688204055336e+132],[1.1012264318064834e+131],[1.8099158415859116e+130],[1.3876223169908432e+132],[7.052484532123724e+129],[6.177606316866597e+130],[2.3472685391011804e+132],[2.0945573481839296e+129],[2.393934719493986e+133],[1.2164500063216207e+132],[4.297021408148766e+130],[1.9463084783664057e+130],[1.949829326916423e+130],[2.579688734074531e+130],[1.6487666467817583e+132],[5.902810782580763e+130],[1.2360176013314078e+133],[2.7534247436010052e+132],[5.8689898635202356e+131],[4.2967579293683045e+132],[2.184136370599887e+131],[8.262344254641338e+128],[1.4004958043121365e+132],[1.5707635231556028e+131],[4.960929970969836e+131],[4.802670869615034e+130],[2.0900314277874734e+133],[4.762424325146056e+131],[2.595931761016207e+130],[1.2396708077263919e+132]
number,[14712],[14907],[19782],[18815],[16894],[17872],[13232],[13319],[17512],[16674],[12281],[12278],[14740],[16961],[13804],[13804],[17394],[16550],[18304],[12233],[18676],[17893],[17529],[12562],[12641],[14304],[16217],[17005],[12980],[13301],[13747],[13278],[13108],[14978],[18433],[19240],[12238],[12189],[16424],[20691],[18890],[13021],[15589],[12973],[12741],[17410],[16890],[12857],[15621],[14399]
not_null,[6130],[6268],[5939],[6134],[5801],[5558],[5729],[5562],[5428],[5537],[5704],[5838],[5584],[6240],[6245],[6170],[6114],[6344],[6013],[5682],[5798],[5488],[5466],[5494],[5821],[5486],[5501],[6185],[6189],[6182],[6288],[5947],[5692],[5481],[5909],[5697],[5551],[5687],[5783],[5637],[6025],[5974],[5739],[5900],[5675],[5604],[5973],[5798],[5765],[5901]
