,rnd_tree_00.graph,rnd_tree_01.graph,rnd_tree_02.graph,rnd_tree_03.graph,rnd_tree_04.graph,rnd_tree_05.graph,rnd_tree_06.graph,rnd_tree_07.graph,rnd_tree_08.graph,rnd_tree_09.graph,rnd_tree_10.graph,rnd_tree_11.graph,rnd_tree_12.graph,rnd_tree_13.graph,rnd_tree_14.graph,rnd_tree_15.graph,rnd_tree_16.graph,rnd_tree_17.graph,rnd_tree_18.graph,rnd_tree_19.graph,rnd_tree_20.graph,rnd_tree_21.graph,rnd_tree_22.graph,rnd_tree_23.graph,rnd_tree_24.graph,rnd_tree_25.graph,rnd_tree_26.graph,rnd_tree_27.graph,rnd_tree_28.graph,rnd_tree_29.graph,rnd_tree_30.graph,rnd_tree_31.graph,rnd_tree_32.graph,rnd_tree_33.graph,rnd_tree_34.graph,rnd_tree_35.graph,rnd_tree_36.graph,rnd_tree_37.graph,rnd_tree_38.graph,rnd_tree_39.graph,rnd_tree_40.graph,rnd_tree_41.graph,rnd_tree_42.graph,rnd_tree_43.graph,rnd_tree_44.graph,rnd_tree_45.graph,rnd_tree_46.graph,rnd_tree_47.graph,rnd_tree_48.graph,rnd_tree_49.graph
estimation,[5.5088794074412386e+32],[2.8712406426119106e+31],[2.0929260164403865e+32],[2.2867053912008825e+32],[7.016003104117111e+30],[1.3590443933758031e+32],[2.4749211248117436e+31],[3.492790768787885e+31],[9.828520529289465e+31],[2.0496359503213526e+32],[5.676890346016828e+32],[1.049063597367213e+31],[8.990555266157342e+32],[1.0701403456371214e+32],[7.843138342119808e+33],[4.527310475709563e+31],[5.997674421525685e+32],[3.1776480449948587e+32],[9.731148399119872e+31],[5.551719880039543e+30],[2.731605737536974e+31],[8.966149875458636e+30],[7.834539495923524e+30],[2.663888443462051e+32],[1.4905245706195722e+32],[7.529826864275514e+30],[7.877455883720988e+31],[3.304101362252071e+31],[1.756506119148163e+32],[2.197592517929239e+32],[2.6217150958050057e+31],[2.0568236054216993e+31],[9.248778079959255e+30],[9.45349082690784e+31],[4.809195146597152e+32],[1.6100238744921066e+32],[4.985738435065661e+31],[1.2278008603244105e+34],[3.916895976525012e+32],[3.0631454280786494e+32],[5.110615662305715e+30],[4.364868986668291e+31],[6.64239222645788e+30],[1.2301289706004771e+32],[3.3909742659668057e+31],[6.951601164746306e+30],[1.377628617165564e+31],[7.552038223814351e+33],[4.07459944016142e+31],[2.5783002727236363e+31]
number,[16163],[15840],[15820],[16481],[16356],[16548],[16476],[15592],[16650],[16066],[16718],[16216],[17027],[15625],[14966],[14599],[14691],[15154],[15865],[15167],[14837],[14941],[16224],[15804],[16535],[16654],[16995],[15306],[15251],[15623],[15704],[15169],[15643],[14882],[15111],[15246],[16828],[16535],[16646],[16310],[16428],[16401],[16461],[16405],[16686],[17084],[16577],[16886],[17122],[17020]
not_null,[15547],[15769],[15726],[16389],[15937],[16449],[16397],[15525],[16239],[15985],[16250],[16147],[16920],[15550],[14852],[14532],[14318],[15065],[15035],[14571],[14767],[14546],[15547],[15696],[16458],[16228],[16548],[15221],[15189],[15528],[15074],[15109],[15076],[14818],[15036],[14858],[16388],[16440],[16550],[16242],[16360],[15782],[16388],[16328],[16225],[16594],[16494],[16773],[16394],[16939]
