,rnd_tree_00.graph,rnd_tree_01.graph,rnd_tree_02.graph,rnd_tree_03.graph,rnd_tree_04.graph,rnd_tree_05.graph,rnd_tree_06.graph,rnd_tree_07.graph,rnd_tree_08.graph,rnd_tree_09.graph,rnd_tree_10.graph,rnd_tree_11.graph,rnd_tree_12.graph,rnd_tree_13.graph,rnd_tree_14.graph,rnd_tree_15.graph,rnd_tree_16.graph,rnd_tree_17.graph,rnd_tree_18.graph,rnd_tree_19.graph,rnd_tree_20.graph,rnd_tree_21.graph,rnd_tree_22.graph,rnd_tree_23.graph,rnd_tree_24.graph,rnd_tree_25.graph,rnd_tree_26.graph,rnd_tree_27.graph,rnd_tree_28.graph,rnd_tree_29.graph,rnd_tree_30.graph,rnd_tree_31.graph,rnd_tree_32.graph,rnd_tree_33.graph,rnd_tree_34.graph,rnd_tree_35.graph,rnd_tree_36.graph,rnd_tree_37.graph,rnd_tree_38.graph,rnd_tree_39.graph,rnd_tree_40.graph,rnd_tree_41.graph,rnd_tree_42.graph,rnd_tree_43.graph,rnd_tree_44.graph,rnd_tree_45.graph,rnd_tree_46.graph,rnd_tree_47.graph,rnd_tree_48.graph,rnd_tree_49.graph
estimation,[2.0473951429959496e+16],[4371314630298010.5],[1.1027555858385804e+16],[1.84065058549732e+16],[4834052470756484.0],[9292473504598302.0],[3131395201818120.5],[9762101254874528.0],[7349145555708052.0],[5.654339017739056e+16],[1.513113433964905e+17],[2707794897978665.5],[6.581115424650043e+17],[5749361381618199.0],[3.5761764655440557e+17],[3515973233115841.0],[4.8049518064503896e+16],[2.7283481397688852e+16],[4.549342369849742e+16],[2269331891227476.0],[2371593823336076.0],[1112686605494890.4],[2433204491147574.0],[3.1833646259747348e+16],[6313774400306801.0],[2128930952389798.5],[1.978036004593262e+16],[1.3646596094033906e+16],[6360217814634773.0],[1.1235615023527094e+16],[7977354120288063.0],[9346499886837884.0],[1988061795026790.5],[6384355987175602.0],[7432117118085702.0],[1.3794857200693738e+16],[1510162238769720.5],[5985958860210269.0],[1.5769642680029336e+16],[2457786857625280.0],[1367931185642724.2],[8297944622518532.0],[1219141616180567.0],[2.379943452290401e+16],[3.286167763382391e+16],[1268754285206518.5],[1240829070180718.8],[1.4239657407712896e+17],[3457661061019679.0],[1027545871527879.0]
number,[505257],[381061],[343330],[331211],[353618],[333479],[304653],[313432],[323127],[361399],[314832],[361986],[672424],[358040],[404298],[364205],[349630],[367270],[371031],[369911],[360016],[341640],[349086],[364390],[478532],[356710],[376102],[392026],[334879],[352786],[364413],[320214],[391583],[329406],[339143],[354297],[376137],[340090],[422564],[310971],[308630],[361909],[316894],[378366],[372766],[332215],[353511],[384857],[336184],[382560]
not_null,[242365],[246287],[198988],[223622],[223671],[211989],[205068],[220416],[219915],[204422],[208256],[229622],[220453],[213024],[204431],[216681],[211054],[228115],[228973],[236573],[225839],[227760],[215654],[226909],[228986],[228800],[223393],[226998],[212638],[230355],[213347],[216675],[234816],[225740],[215455],[223605],[224821],[214577],[228280],[221575],[223270],[231607],[226238],[224706],[224958],[235975],[243505],[208533],[212849],[222532]
