,rnd_tree_00.graph,rnd_tree_01.graph,rnd_tree_02.graph,rnd_tree_03.graph,rnd_tree_04.graph,rnd_tree_05.graph,rnd_tree_06.graph,rnd_tree_07.graph,rnd_tree_08.graph,rnd_tree_09.graph,rnd_tree_10.graph,rnd_tree_11.graph,rnd_tree_12.graph,rnd_tree_13.graph,rnd_tree_14.graph,rnd_tree_15.graph,rnd_tree_16.graph,rnd_tree_17.graph,rnd_tree_18.graph,rnd_tree_19.graph,rnd_tree_20.graph,rnd_tree_21.graph,rnd_tree_22.graph,rnd_tree_23.graph,rnd_tree_24.graph,rnd_tree_25.graph,rnd_tree_26.graph,rnd_tree_27.graph,rnd_tree_28.graph,rnd_tree_29.graph,rnd_tree_30.graph,rnd_tree_31.graph,rnd_tree_32.graph,rnd_tree_33.graph,rnd_tree_34.graph,rnd_tree_35.graph,rnd_tree_36.graph,rnd_tree_37.graph,rnd_tree_38.graph,rnd_tree_39.graph,rnd_tree_40.graph,rnd_tree_41.graph,rnd_tree_42.graph,rnd_tree_43.graph,rnd_tree_44.graph,rnd_tree_45.graph,rnd_tree_46.graph,rnd_tree_47.graph,rnd_tree_48.graph,rnd_tree_49.graph
estimation,[1.0841377936999587e+27],[1.3988204461105132e+26],[9.855573729069757e+26],[7.530905984936726e+27],[8.820646159219807e+24],[2.23330716901766e+25],[3.574952923707109e+26],[4.397212352400624e+27],[2.9434409909946435e+26],[1.4195011560933572e+27],[9.437339572522289e+27],[3.134608529240658e+25],[4.478324489764337e+29],[3.702850882359464e+26],[6.929228994648445e+28],[3.7774009019939546e+26],[4.8850307422969453e+27],[1.3000637862491721e+29],[2.4278819048078305e+25],[9.533417443228688e+25],[3.6783362369115776e+25],[1.327793165049335e+25],[1.0858398865918162e+26],[2.0505342481425094e+27],[8.181922784833256e+26],[1.0923171480689481e+26],[9.017339642549057e+26],[5.7830892676236186e+26],[9.003334415522049e+25],[3.394017289531256e+25],[1.7956673708355229e+27],[5.68858463823654e+27],[1.5916579003482514e+25],[3.477463803153558e+26],[2.5967174029715235e+27],[8.494628658898154e+27],[1.0761605784181152e+25],[7.3209784395102235e+25],[6.96546795339674e+27],[4.087432267066447e+24],[1.1147158824879709e+24],[6.056300003374006e+26],[8.446714088430124e+24],[6.605467016923483e+25],[1.5870001959888104e+27],[4.4730853834668065e+25],[5.724085029148264e+24],[1.3815347047559069e+29],[1.9950214691476553e+25],[2.6631363421183295e+25]
number,[44462],[17503],[35165],[40504],[36386],[49248],[16653],[35430],[35942],[34475],[35990],[36019],[20436],[66064],[20228],[37711],[19068],[20222],[61660],[19017],[34476],[34480],[16784],[51227],[18658],[16562],[35029],[18431],[30307],[49657],[19987],[35356],[33110],[17863],[18502],[39573],[33831],[17787],[18516],[32906],[31232],[43560],[32639],[32629],[17881],[28721],[30919],[14924],[42250],[30413]
not_null,[7196],[6760],[7278],[8348],[6805],[6983],[6819],[7220],[7140],[7312],[7038],[6655],[8260],[8359],[7720],[7205],[7869],[7708],[7504],[7267],[7074],[6411],[6478],[8199],[7628],[6366],[7230],[6640],[6592],[7729],[8155],[7212],[6841],[7194],[7399],[8215],[6976],[6561],[7203],[6445],[5958],[6221],[6658],[6232],[6384],[5502],[6132],[5972],[6463],[6136]
