,rnd_tree_00.graph,rnd_tree_01.graph,rnd_tree_02.graph,rnd_tree_03.graph,rnd_tree_04.graph,rnd_tree_05.graph,rnd_tree_06.graph,rnd_tree_07.graph,rnd_tree_08.graph,rnd_tree_09.graph,rnd_tree_10.graph,rnd_tree_11.graph,rnd_tree_12.graph,rnd_tree_13.graph,rnd_tree_14.graph,rnd_tree_15.graph,rnd_tree_16.graph,rnd_tree_17.graph,rnd_tree_18.graph,rnd_tree_19.graph,rnd_tree_20.graph,rnd_tree_21.graph,rnd_tree_22.graph,rnd_tree_23.graph,rnd_tree_24.graph,rnd_tree_25.graph,rnd_tree_26.graph,rnd_tree_27.graph,rnd_tree_28.graph,rnd_tree_29.graph,rnd_tree_30.graph,rnd_tree_31.graph,rnd_tree_32.graph,rnd_tree_33.graph,rnd_tree_34.graph,rnd_tree_35.graph,rnd_tree_36.graph,rnd_tree_37.graph,rnd_tree_38.graph,rnd_tree_39.graph,rnd_tree_40.graph,rnd_tree_41.graph,rnd_tree_42.graph,rnd_tree_43.graph,rnd_tree_44.graph,rnd_tree_45.graph,rnd_tree_46.graph,rnd_tree_47.graph,rnd_tree_48.graph,rnd_tree_49.graph
estimation,[1.2221010327961236e+42],[1.2519427470036537e+40],[1.2475754853736539e+41],[3.350573553513915e+39],[3.3628335830999683e+38],[1.340642020909758e+40],[1.3355747311323807e+42],[7.342264663764076e+41],[5.652628001646567e+39],[3.066464028899595e+39],[6.61522301352003e+43],[1.4907804805242548e+39],[2.9867470591652784e+39],[2.6180353134308135e+38],[1.1348554472047128e+38],[1.4642345362737484e+40],[1.4230304125857188e+37],[2.604410438952142e+40],[8.197774232987917e+39],[2.4957400026659265e+41],[6.344252011800904e+41],[4.924879518803281e+41],[2.032340882034697e+38],[1.2380297641379187e+39],[7.246944150404045e+40],[3.2970814676798715e+40],[6.7322968415005175e+41],[1.297235591928263e+42],[2.9839422065505885e+40],[9.254905737916824e+38],[1.7880349351823996e+41],[1.8124908849386957e+39],[3.7594345986103385e+39],[1.0250576968135791e+40],[4.708197886381562e+40],[1.9580228262617163e+39],[4.1498761753812904e+39],[1.677744609290933e+38],[1.2170427870866445e+40],[1.172934196924199e+37],[7.226078248569484e+38],[6.460727401372304e+39],[1.9104469295443726e+37],[2.403962049346195e+40],[1.5070934156763102e+40],[1.4323374787752782e+45],[2.300013731115589e+39],[7.629342091629975e+40],[3.0423574899297426e+37],[4.278078413303279e+39]
number,[279581],[265391],[248687],[218217],[169114],[247401],[295864],[258342],[208688],[203616],[234308],[246135],[204030],[233598],[252042],[273941],[185928],[211855],[250881],[232482],[279124],[255509],[205722],[204501],[248435],[206153],[281075],[317345],[189137],[265862],[442532],[227807],[288869],[264236],[224822],[189264],[312681],[260020],[231661],[279372],[232480],[309508],[214846],[295796],[255863],[234262],[226252],[215616],[243040],[371402]
not_null,[31310],[29784],[19450],[30415],[33640],[26777],[17905],[26238],[22569],[32102],[27613],[26657],[21052],[24350],[27385],[19203],[30825],[28244],[25211],[20229],[27646],[30425],[30707],[25317],[25133],[24380],[20724],[31036],[24716],[25099],[25706],[36142],[23987],[28368],[22736],[29086],[21594],[26376],[27990],[28016],[28058],[31771],[27251],[19725],[27113],[23787],[30695],[19606],[33066],[25948]
