,rnd_tree_00.graph,rnd_tree_01.graph,rnd_tree_02.graph,rnd_tree_03.graph,rnd_tree_04.graph,rnd_tree_05.graph,rnd_tree_06.graph,rnd_tree_07.graph,rnd_tree_08.graph,rnd_tree_09.graph,rnd_tree_10.graph,rnd_tree_11.graph,rnd_tree_12.graph,rnd_tree_13.graph,rnd_tree_14.graph,rnd_tree_15.graph,rnd_tree_16.graph,rnd_tree_17.graph,rnd_tree_18.graph,rnd_tree_19.graph,rnd_tree_20.graph,rnd_tree_21.graph,rnd_tree_22.graph,rnd_tree_23.graph,rnd_tree_24.graph,rnd_tree_25.graph,rnd_tree_26.graph,rnd_tree_27.graph,rnd_tree_28.graph,rnd_tree_29.graph,rnd_tree_30.graph,rnd_tree_31.graph,rnd_tree_32.graph,rnd_tree_33.graph,rnd_tree_34.graph,rnd_tree_35.graph,rnd_tree_36.graph,rnd_tree_37.graph,rnd_tree_38.graph,rnd_tree_39.graph,rnd_tree_40.graph,rnd_tree_41.graph,rnd_tree_42.graph,rnd_tree_43.graph,rnd_tree_44.graph,rnd_tree_45.graph,rnd_tree_46.graph,rnd_tree_47.graph,rnd_tree_48.graph,rnd_tree_49.graph
estimation,[1.766431449599734e+88],[6.119219614437433e+85],[1.305979151171864e+89],[2.091438187232657e+87],[2.0880529198634206e+87],[1.99958654818118e+87],[2.043192996964404e+90],[6.458720525383425e+89],[3.9978519371430107e+89],[1.1340984898879876e+86],[2.2356163831369415e+89],[1.9268676572725903e+87],[5.44051239009672e+86],[1.4987444180670204e+86],[3.294426590738914e+87],[2.4877319198110484e+88],[8.66331747932008e+87],[1.8537762595312768e+88],[3.2932954963532537e+90],[3.604252104872855e+88],[1.2307462583538773e+89],[1.1638436062297381e+87],[6.750849393244147e+85],[3.07410142618521e+90],[1.5334492771694742e+91],[2.6100219899303643e+87],[2.0325311663762034e+91],[6.2086404446226774e+88],[1.6216345006055356e+92],[1.292848219808441e+86],[9.519238218468053e+88],[1.0716075855952001e+88],[6.05770335018935e+88],[6.837931891372765e+89],[1.0077635701774166e+88],[5.376487308157496e+86],[1.972763567460282e+96],[1.4212723083704624e+90],[1.018645946493332e+88],[3.9782491134663906e+88],[5.200123322289024e+90],[1.1321636754179554e+91],[2.0202278006873676e+87],[8.841456029166546e+88],[3.0813601088776147e+89],[2.052567537593212e+86],[4.3563639087540587e+86],[1.9120887142889672e+88],[4.643961351959931e+86],[1.0439332352028316e+92]
number,[4857],[5108],[4853],[5103],[5249],[5305],[5296],[4856],[5238],[5065],[5259],[5239],[5228],[4579],[4792],[4881],[4956],[4590],[4725],[4840],[4865],[4587],[5143],[5205],[5227],[4974],[5145],[4689],[4721],[4919],[4889],[4697],[4745],[4837],[4720],[4773],[4951],[5206],[5417],[5401],[4928],[5227],[5149],[5042],[5250],[5357],[5150],[5175],[5128],[4990]
not_null,[4777],[4756],[4683],[4876],[5052],[5021],[5087],[4774],[5153],[4983],[5063],[4912],[4960],[4490],[4731],[4708],[4721],[4519],[4455],[4638],[4662],[4379],[4955],[5128],[5135],[4903],[4967],[4603],[4547],[4691],[4697],[4516],[4674],[4753],[4655],[4686],[4879],[4956],[5163],[5188],[4861],[5027],[5068],[4864],[5181],[5082],[5094],[5104],[5055],[4911]
