,rnd_tree_00.graph,rnd_tree_01.graph,rnd_tree_02.graph,rnd_tree_03.graph,rnd_tree_04.graph,rnd_tree_05.graph,rnd_tree_06.graph,rnd_tree_07.graph,rnd_tree_08.graph,rnd_tree_09.graph,rnd_tree_10.graph,rnd_tree_11.graph,rnd_tree_12.graph,rnd_tree_13.graph,rnd_tree_14.graph,rnd_tree_15.graph,rnd_tree_16.graph,rnd_tree_17.graph,rnd_tree_18.graph,rnd_tree_19.graph,rnd_tree_20.graph,rnd_tree_21.graph,rnd_tree_22.graph,rnd_tree_23.graph,rnd_tree_24.graph,rnd_tree_25.graph,rnd_tree_26.graph,rnd_tree_27.graph,rnd_tree_28.graph,rnd_tree_29.graph,rnd_tree_30.graph,rnd_tree_31.graph,rnd_tree_32.graph,rnd_tree_33.graph,rnd_tree_34.graph,rnd_tree_35.graph,rnd_tree_36.graph,rnd_tree_37.graph,rnd_tree_38.graph,rnd_tree_39.graph,rnd_tree_40.graph,rnd_tree_41.graph,rnd_tree_42.graph,rnd_tree_43.graph,rnd_tree_44.graph,rnd_tree_45.graph,rnd_tree_46.graph,rnd_tree_47.graph,rnd_tree_48.graph,rnd_tree_49.graph
estimation,[1.2111149913614706e+91],[3.606155870388626e+89],[1.5205635485477473e+93],[1.19554277475137e+90],[1.9477734391982885e+92],[1.6352931638118427e+88],[1.5022996738271844e+89],[2.0199458374771515e+94],[7.179920956802223e+84],[2.513110636221256e+93],[1.702115999138841e+95],[1.522740494702025e+88],[3.6816476909925027e+92],[1.1373916834316541e+89],[2.1029675425082484e+92],[6.181339813516174e+91],[6.555164679833114e+88],[6.204972675905736e+87],[5.111220561027685e+90],[2.569668771984845e+94],[4.1845815085879164e+88],[4.0396404553710263e+90],[1.0527279514104393e+89],[3.6441397196367225e+89],[1.7929410716422334e+89],[7.61150048576384e+94],[2.4306924493885782e+88],[1.7248241357425933e+93],[1.1873214325053814e+91],[1.179926482490055e+96],[1.2263291448105205e+94],[1.8664602901993e+89],[1.0389952062380249e+93],[1.995800139419049e+92],[1.6824981967551292e+92],[1.8533216632680267e+87],[1.0592765962249455e+89],[1.1712753019121895e+89],[7.821055802555408e+90],[3.5250617664426943e+90],[3.681779962928711e+92],[9.55456803819883e+91],[2.8648868044079226e+91],[6.09692720141885e+89],[4.400515668272565e+90],[5.540070146536284e+93],[1.095700688313328e+88],[4.341286258812809e+92],[1.792549846040016e+91],[3.476521928636363e+90]
number,[50550],[23181],[12039],[22103],[29220],[12497],[28097],[22657],[40824],[34893],[34331],[12217],[11627],[25795],[25404],[12347],[24560],[11780],[12774],[33373],[21657],[22961],[10999],[29252],[10859],[22409],[23672],[23959],[17870],[22926],[12594],[11050],[10812],[23994],[25282],[34541],[11642],[19837],[21285],[24324],[23897],[12157],[22042],[24098],[12134],[9282],[24770],[21861],[21598],[10208]
not_null,[624],[587],[550],[527],[821],[527],[674],[569],[486],[600],[648],[408],[636],[503],[692],[761],[562],[497],[567],[691],[545],[557],[377],[469],[533],[600],[441],[523],[461],[575],[612],[489],[623],[636],[637],[528],[509],[407],[668],[507],[553],[553],[554],[592],[517],[366],[406],[668],[531],[530]
