,rnd_tree_00.graph,rnd_tree_01.graph,rnd_tree_02.graph,rnd_tree_03.graph,rnd_tree_04.graph,rnd_tree_05.graph,rnd_tree_06.graph,rnd_tree_07.graph,rnd_tree_08.graph,rnd_tree_09.graph,rnd_tree_10.graph,rnd_tree_11.graph,rnd_tree_12.graph,rnd_tree_13.graph,rnd_tree_14.graph,rnd_tree_15.graph,rnd_tree_16.graph,rnd_tree_17.graph,rnd_tree_18.graph,rnd_tree_19.graph,rnd_tree_20.graph,rnd_tree_21.graph,rnd_tree_22.graph,rnd_tree_23.graph,rnd_tree_24.graph,rnd_tree_25.graph,rnd_tree_26.graph,rnd_tree_27.graph,rnd_tree_28.graph,rnd_tree_29.graph,rnd_tree_30.graph,rnd_tree_31.graph,rnd_tree_32.graph,rnd_tree_33.graph,rnd_tree_34.graph,rnd_tree_35.graph,rnd_tree_36.graph,rnd_tree_37.graph,rnd_tree_38.graph,rnd_tree_39.graph,rnd_tree_40.graph,rnd_tree_41.graph,rnd_tree_42.graph,rnd_tree_43.graph,rnd_tree_44.graph,rnd_tree_45.graph,rnd_tree_46.graph,rnd_tree_47.graph,rnd_tree_48.graph,rnd_tree_49.graph
estimation,[5.818662604303451e+47],[1.0756407857856357e+49],[2.566723175884029e+49],[5.756893000692367e+47],[3.4726515955537e+46],[4.910876500374032e+46],[1.7976589282807535e+51],[5.202669150479834e+49],[9.416090127502926e+46],[1.3950701872948188e+49],[3.8084164362715255e+51],[4.817680551366911e+49],[5.8442023324575333e+48],[9.98674578189666e+47],[1.294037654427414e+47],[1.1979000642113502e+49],[1.1941480937009847e+48],[2.5847309044429404e+49],[3.824856251867858e+47],[7.214315918220206e+46],[1.0076311321362649e+51],[7.215523276012401e+46],[9.656490415594558e+48],[3.313464497215504e+49],[8.07025074071e+50],[2.568797119944418e+52],[8.267117992467929e+47],[9.526856259104062e+49],[9.874559950224815e+48],[5.794295135653486e+50],[7.354755016017258e+52],[4.026169485371737e+47],[1.5777938172207072e+47],[2.748385224253048e+48],[4.0428636835301814e+47],[5.897033162681862e+47],[9.983440854201064e+50],[1.573914901436574e+49],[5.9249648138829937e+51],[2.311616283568934e+48],[5.0263812624306176e+48],[7.199637221783014e+45],[1.589035173972349e+49],[3.1052092242702534e+49],[6.672187406856285e+49],[1.588463455585454e+50],[4.389926608393005e+49],[2.8692450130051597e+49],[3.0095886925135986e+50],[3.938258358472296e+51]
number,[12421],[26388],[26007],[28885],[23831],[27899],[23008],[25086],[35611],[13236],[27570],[14294],[40929],[13240],[39731],[38737],[27235],[38612],[48070],[48498],[25673],[36649],[11943],[11449],[13145],[13220],[12734],[12476],[13025],[26076],[26845],[13627],[37454],[13321],[24048],[13852],[13712],[12558],[37088],[22353],[25492],[31992],[12329],[13251],[13098],[12061],[23282],[42791],[10561],[24285]
not_null,[2329],[2256],[2458],[2576],[2235],[2492],[2384],[2190],[2245],[2105],[2464],[2664],[2957],[2530],[2388],[2818],[2270],[2706],[2468],[2572],[2448],[2076],[2276],[2246],[2003],[2455],[2227],[2629],[1931],[2452],[2822],[2042],[2271],[2127],[2175],[2369],[2299],[2236],[2519],[2123],[2462],[2126],[2066],[2240],[2648],[2031],[2212],[2060],[2060],[2325]
