,rnd_tree_00.graph,rnd_tree_01.graph,rnd_tree_02.graph,rnd_tree_03.graph,rnd_tree_04.graph,rnd_tree_05.graph,rnd_tree_06.graph,rnd_tree_07.graph,rnd_tree_08.graph,rnd_tree_09.graph,rnd_tree_10.graph,rnd_tree_11.graph,rnd_tree_12.graph,rnd_tree_13.graph,rnd_tree_14.graph,rnd_tree_15.graph,rnd_tree_16.graph,rnd_tree_17.graph,rnd_tree_18.graph,rnd_tree_19.graph,rnd_tree_20.graph,rnd_tree_21.graph,rnd_tree_22.graph,rnd_tree_23.graph,rnd_tree_24.graph,rnd_tree_25.graph,rnd_tree_26.graph,rnd_tree_27.graph,rnd_tree_28.graph,rnd_tree_29.graph,rnd_tree_30.graph,rnd_tree_31.graph,rnd_tree_32.graph,rnd_tree_33.graph,rnd_tree_34.graph,rnd_tree_35.graph,rnd_tree_36.graph,rnd_tree_37.graph,rnd_tree_38.graph,rnd_tree_39.graph,rnd_tree_40.graph,rnd_tree_41.graph,rnd_tree_42.graph,rnd_tree_43.graph,rnd_tree_44.graph,rnd_tree_45.graph,rnd_tree_46.graph,rnd_tree_47.graph,rnd_tree_48.graph,rnd_tree_49.graph
estimation,[3.5988306222228176e+105],[1.0110804166550916e+106],[3.057177743094018e+105],[2.154495982062828e+106],[1.3301988971242456e+107],[2.0740856053958186e+106],[5.888528740813602e+106],[2.1539561364248272e+107],[8.827418408500057e+105],[2.0461768911354414e+107],[6.484967447374746e+105],[1.9684600222470284e+104],[8.909470539892317e+105],[2.2736947288025748e+107],[6.223254288040474e+105],[1.027690005543508e+108],[2.3150098527966735e+106],[2.1035212155408266e+105],[4.670031954138257e+104],[3.889560096461715e+106],[3.961108290199717e+106],[1.5463209011741383e+105],[4.013078564675878e+105],[1.1169117268879176e+107],[5.697590573427798e+107],[9.953738667731984e+104],[1.977516139350292e+106],[8.592001465393755e+105],[1.2894298100369483e+106],[8.803048287400645e+106],[2.6086964773887922e+107],[3.884593156994898e+106],[3.6848665477577666e+105],[9.738636018338543e+105],[1.5004125490267583e+105],[9.984073390004683e+105],[1.290674147991171e+105],[1.2942613729491233e+105],[3.679436052589546e+107],[2.1377706674411272e+104],[1.2501062757437004e+107],[5.607526572464102e+104],[2.0166857430624347e+107],[4.363913945393845e+106],[3.4784242558326435e+105],[1.6231991622527487e+106],[1.759817458067023e+107],[3.056641522314137e+104],[1.9618454104218588e+107],[4.356617311930126e+104]
number,[16887],[15463],[19503],[16155],[15190],[22199],[21054],[15237],[14456],[14621],[18447],[15199],[18613],[21844],[16670],[28965],[20085],[16369],[25846],[14576],[21938],[13801],[18756],[17826],[21307],[20662],[21330],[20542],[16584],[20687],[25980],[16295],[18109],[21369],[15974],[21955],[14572],[18263],[19404],[24563],[23749],[19729],[14770],[14883],[15032],[20854],[21065],[14935],[23955],[16792]
not_null,[8323],[8386],[8264],[8416],[7983],[7872],[8073],[7679],[7885],[7895],[7820],[7700],[7979],[8173],[8666],[8527],[8728],[8510],[7866],[8004],[7753],[7417],[7629],[7598],[7632],[8054],[7818],[8698],[8602],[8647],[8634],[8344],[8040],[7758],[8234],[8000],[8019],[7834],[7930],[8018],[8153],[8292],[7849],[8067],[7900],[7711],[7579],[8054],[7715],[8384]
