,rnd_tree_00.graph,rnd_tree_01.graph,rnd_tree_02.graph,rnd_tree_03.graph,rnd_tree_04.graph,rnd_tree_05.graph,rnd_tree_06.graph,rnd_tree_07.graph,rnd_tree_08.graph,rnd_tree_09.graph,rnd_tree_10.graph,rnd_tree_11.graph,rnd_tree_12.graph,rnd_tree_13.graph,rnd_tree_14.graph,rnd_tree_15.graph,rnd_tree_16.graph,rnd_tree_17.graph,rnd_tree_18.graph,rnd_tree_19.graph,rnd_tree_20.graph,rnd_tree_21.graph,rnd_tree_22.graph,rnd_tree_23.graph,rnd_tree_24.graph,rnd_tree_25.graph,rnd_tree_26.graph,rnd_tree_27.graph,rnd_tree_28.graph,rnd_tree_29.graph,rnd_tree_30.graph,rnd_tree_31.graph,rnd_tree_32.graph,rnd_tree_33.graph,rnd_tree_34.graph,rnd_tree_35.graph,rnd_tree_36.graph,rnd_tree_37.graph,rnd_tree_38.graph,rnd_tree_39.graph,rnd_tree_40.graph,rnd_tree_41.graph,rnd_tree_42.graph,rnd_tree_43.graph,rnd_tree_44.graph,rnd_tree_45.graph,rnd_tree_46.graph,rnd_tree_47.graph,rnd_tree_48.graph,rnd_tree_49.graph
estimation,[3.3711572657499328e+53],[1.1386372135350429e+54],[1.0266508012645423e+54],[4.027283782416056e+53],[2.607219453223109e+53],[6.793829364499794e+53],[3.574514207551028e+53],[8.585872972923264e+53],[3.816829331881085e+53],[3.644303774709419e+53],[5.117120757512955e+53],[4.92688451534085e+53],[2.825191809665325e+53],[2.375786432089116e+53],[2.803008742842592e+53],[1.368681848825429e+54],[8.224029558341393e+53],[2.1356502061364473e+54],[5.987164158462697e+55],[4.0948012493509195e+53],[1.9177694358137614e+54],[6.304233314557748e+52],[2.9836878272259822e+53],[2.052824227781294e+54],[5.527890803424209e+53],[3.0373096178308826e+53],[4.347811218711654e+53],[1.3542641001355257e+54],[4.347032541958963e+54],[1.630288452188178e+55],[5.588860776688038e+55],[3.486242932531503e+53],[1.2105339944580117e+53],[3.85997822232895e+53],[2.251217416601322e+53],[4.353799111822646e+53],[2.5153989730476803e+54],[5.690047367036899e+53],[2.246640504817209e+54],[6.406803652601964e+53],[2.846399851100528e+54],[1.4571537752356939e+54],[6.714142241286308e+54],[9.471637120206401e+53],[9.398104863950454e+53],[7.56751995726798e+53],[7.049606851210518e+53],[1.2186708301444055e+54],[2.5480468647126606e+53],[4.0880241875009614e+54]
number,[40875],[36395],[46919],[28803],[35375],[26985],[28564],[34221],[38984],[32724],[34875],[27191],[35787],[35909],[29286],[37977],[36408],[29936],[32624],[35618],[34158],[32609],[26571],[32092],[25853],[26808],[34519],[45619],[37196],[38200],[30224],[28710],[27658],[26364],[26165],[33068],[39110],[32833],[35932],[34300],[40694],[36906],[33547],[28371],[26405],[28334],[34205],[27462],[33823],[27719]
not_null,[21311],[20908],[20778],[20882],[20362],[19299],[19295],[19182],[19082],[18699],[19489],[19181],[19738],[20390],[21250],[21203],[20666],[20936],[19067],[19733],[19476],[19246],[18924],[18591],[18718],[19193],[20168],[21649],[21290],[21336],[21356],[20325],[19012],[19104],[18786],[19253],[20130],[19323],[20375],[19938],[19901],[21213],[19209],[19949],[18904],[20079],[19548],[19471],[19347],[19265]
