,rnd_tree_00.graph,rnd_tree_01.graph,rnd_tree_02.graph,rnd_tree_03.graph,rnd_tree_04.graph,rnd_tree_05.graph,rnd_tree_06.graph,rnd_tree_07.graph,rnd_tree_08.graph,rnd_tree_09.graph,rnd_tree_10.graph,rnd_tree_11.graph,rnd_tree_12.graph,rnd_tree_13.graph,rnd_tree_14.graph,rnd_tree_15.graph,rnd_tree_16.graph,rnd_tree_17.graph,rnd_tree_18.graph,rnd_tree_19.graph,rnd_tree_20.graph,rnd_tree_21.graph,rnd_tree_22.graph,rnd_tree_23.graph,rnd_tree_24.graph,rnd_tree_25.graph,rnd_tree_26.graph,rnd_tree_27.graph,rnd_tree_28.graph,rnd_tree_29.graph,rnd_tree_30.graph,rnd_tree_31.graph,rnd_tree_32.graph,rnd_tree_33.graph,rnd_tree_34.graph,rnd_tree_35.graph,rnd_tree_36.graph,rnd_tree_37.graph,rnd_tree_38.graph,rnd_tree_39.graph,rnd_tree_40.graph,rnd_tree_41.graph,rnd_tree_42.graph,rnd_tree_43.graph,rnd_tree_44.graph,rnd_tree_45.graph,rnd_tree_46.graph,rnd_tree_47.graph,rnd_tree_48.graph,rnd_tree_49.graph
estimation,[2.259331730863158e+63],[5.608549856709677e+60],[1.0516329313883467e+62],[5.277422857721273e+58],[3.924817280172071e+61],[1.9905149032176747e+63],[9.545833344639146e+58],[4.291551024119034e+58],[8.346268759961883e+59],[6.414162529057044e+60],[4.621103689474368e+63],[2.6772363769253685e+60],[9.01087382883582e+62],[7.843588178327643e+58],[1.9038772309684989e+59],[1.607716146124373e+60],[5.673017868188122e+61],[1.2293703191828097e+61],[1.7606186644438718e+65],[1.6218847483946092e+59],[5.586930644978733e+58],[3.631619502401831e+58],[7.025823298383366e+59],[1.1439539667287959e+61],[2.1688520294085533e+58],[1.4621529603008163e+58],[2.729516544381652e+59],[1.2031002155385595e+61],[5.294081765919364e+62],[2.3809548786384006e+61],[1.0901050887491015e+64],[1.864210347596208e+60],[9.03570570712913e+63],[3.2029244110126185e+60],[2.7464104279255094e+60],[1.924745179142231e+60],[7.427389233180506e+62],[1.107709396725397e+60],[7.781624848845377e+57],[2.0753032895715805e+59],[7.187256533048953e+58],[5.300585244752984e+61],[3.4815517984430484e+61],[1.888458660999064e+57],[1.233846289037844e+60],[5.9546876975847065e+60],[7.4384403216006255e+59],[9.207475708989737e+59],[8.587426111340866e+65],[6.6992874789102296e+59]
number,[333981],[304676],[247311],[249648],[355054],[243359],[346095],[197592],[188183],[207237],[364920],[275892],[278101],[321496],[299231],[280319],[269076],[304209],[189200],[327680],[208458],[315585],[207150],[258843],[227011],[208023],[216538],[274804],[212545],[234119],[250136],[207807],[228431],[174078],[349083],[194826],[205674],[197861],[294717],[232641],[274177],[214790],[287931],[248211],[237241],[271969],[259255],[276099],[187057],[409536]
not_null,[3966],[4008],[4250],[7026],[3710],[4824],[4392],[4592],[7344],[4562],[5535],[7355],[4893],[10241],[7452],[1753],[6525],[6800],[4823],[4926],[6504],[6958],[7445],[4427],[5484],[6241],[5801],[8011],[5100],[5480],[4676],[6077],[5104],[7473],[6537],[6203],[4827],[8087],[5868],[7315],[7259],[5062],[5791],[3239],[7543],[7069],[6004],[5995],[8154],[2178]
