,rnd_tree_00.graph,rnd_tree_01.graph,rnd_tree_02.graph,rnd_tree_03.graph,rnd_tree_04.graph,rnd_tree_05.graph,rnd_tree_06.graph,rnd_tree_07.graph,rnd_tree_08.graph,rnd_tree_09.graph,rnd_tree_10.graph,rnd_tree_11.graph,rnd_tree_12.graph,rnd_tree_13.graph,rnd_tree_14.graph,rnd_tree_15.graph,rnd_tree_16.graph,rnd_tree_17.graph,rnd_tree_18.graph,rnd_tree_19.graph,rnd_tree_20.graph,rnd_tree_21.graph,rnd_tree_22.graph,rnd_tree_23.graph,rnd_tree_24.graph,rnd_tree_25.graph,rnd_tree_26.graph,rnd_tree_27.graph,rnd_tree_28.graph,rnd_tree_29.graph,rnd_tree_30.graph,rnd_tree_31.graph,rnd_tree_32.graph,rnd_tree_33.graph,rnd_tree_34.graph,rnd_tree_35.graph,rnd_tree_36.graph,rnd_tree_37.graph,rnd_tree_38.graph,rnd_tree_39.graph,rnd_tree_40.graph,rnd_tree_41.graph,rnd_tree_42.graph,rnd_tree_43.graph,rnd_tree_44.graph,rnd_tree_45.graph,rnd_tree_46.graph,rnd_tree_47.graph,rnd_tree_48.graph,rnd_tree_49.graph
estimation,[4.0695296135689593e+114],[1.1855110685986585e+113],[1.7950459908856914e+116],[4.337146779875242e+107],[4.147124468137698e+115],[1.383121097690225e+115],[8.38796946522498e+111],[4.955679918456748e+108],[3.240598367992881e+107],[9.079782569424079e+113],[1.9884304430478795e+119],[2.0457091470031086e+109],[7.258833236927169e+114],[9.349360443474193e+111],[3.0068609991724e+115],[3.893346847912815e+119],[5.854321836105648e+112],[7.555992529610913e+114],[2.6143521933703083e+112],[1.589698474887276e+111],[3.593639892215573e+105],[7.584043442082757e+108],[1.2432483230752586e+112],[6.38906193179718e+109],[3.1060114851557665e+110],[1.0642787016894946e+111],[6.143707934619028e+107],[4.3561965607089966e+107],[1.2531445938467445e+117],[1.6468123954184293e+107],[2.431229171006441e+117],[8.65123820165668e+108],[7.3663470683072405e+112],[1.9121995575742775e+107],[6.300305303026038e+110],[2.0902559168755143e+105],[7.258228752930538e+110],[1.880210750883549e+109],[3.476442660620351e+111],[8.724222687940648e+105],[1.9824343914114595e+108],[1.6000705738498215e+115],[2.1627303580020076e+110],[7.883888180499082e+109],[3.820110748259109e+113],[2.814329072490208e+109],[6.934959424162121e+108],[6.568519634394768e+115],[1.1977157610894513e+107],[6.772331737120085e+111]
number,[50692],[23842],[20735],[10999],[12616],[11279],[10917],[20754],[10980],[11495],[10933],[11901],[11284],[12621],[24887],[10392],[12531],[12236],[23117],[22724],[22245],[10846],[9739],[22691],[10508],[20075],[10537],[11529],[23126],[36253],[24303],[30644],[10637],[29008],[24571],[31998],[30052],[20217],[25799],[29077],[10784],[10752],[11216],[32159],[28209],[9307],[25150],[10163],[18798],[52046]
not_null,[339],[382],[304],[292],[444],[339],[433],[271],[195],[268],[293],[370],[280],[273],[405],[408],[245],[264],[309],[305],[319],[267],[268],[281],[267],[247],[238],[224],[263],[382],[308],[333],[301],[226],[291],[299],[294],[223],[294],[241],[208],[295],[327],[372],[254],[188],[278],[283],[224],[513]
