,rnd_tree_00.graph,rnd_tree_01.graph,rnd_tree_02.graph,rnd_tree_03.graph,rnd_tree_04.graph,rnd_tree_05.graph,rnd_tree_06.graph,rnd_tree_07.graph,rnd_tree_08.graph,rnd_tree_09.graph,rnd_tree_10.graph,rnd_tree_11.graph,rnd_tree_12.graph,rnd_tree_13.graph,rnd_tree_14.graph,rnd_tree_15.graph,rnd_tree_16.graph,rnd_tree_17.graph,rnd_tree_18.graph,rnd_tree_19.graph,rnd_tree_20.graph,rnd_tree_21.graph,rnd_tree_22.graph,rnd_tree_23.graph,rnd_tree_24.graph,rnd_tree_25.graph,rnd_tree_26.graph,rnd_tree_27.graph,rnd_tree_28.graph,rnd_tree_29.graph,rnd_tree_30.graph,rnd_tree_31.graph,rnd_tree_32.graph,rnd_tree_33.graph,rnd_tree_34.graph,rnd_tree_35.graph,rnd_tree_36.graph,rnd_tree_37.graph,rnd_tree_38.graph,rnd_tree_39.graph,rnd_tree_40.graph,rnd_tree_41.graph,rnd_tree_42.graph,rnd_tree_43.graph,rnd_tree_44.graph,rnd_tree_45.graph,rnd_tree_46.graph,rnd_tree_47.graph,rnd_tree_48.graph,rnd_tree_49.graph
estimation,[1.0154059229674062e+28],[3.606543816701001e+27],[7.009134754950078e+27],[2.0932711431058e+28],[1.9314172428010236e+27],[1.9823609607487136e+28],[6.409708924309015e+27],[1.1492200186920308e+28],[2.943512090913373e+27],[4.250428148707116e+27],[7.455299498633793e+28],[1.5954570795077202e+27],[6.286035554641823e+29],[9.777652645738687e+27],[8.694899537274319e+28],[7.971528965232737e+27],[1.3696158998744332e+29],[2.406244431108907e+28],[6.595981318472848e+27],[1.7503631987576694e+27],[5.874390950934169e+27],[5.910829350223978e+27],[3.413914994421402e+27],[1.0400944325658984e+28],[8.492394420033444e+28],[3.032008258675095e+27],[1.6838644682641501e+28],[7.833759708202333e+27],[3.923551096729231e+27],[2.603069374900324e+28],[1.3255214608278473e+28],[1.0996694789281575e+28],[4.586107205899393e+27],[7.673576369327322e+27],[1.4073769055346033e+28],[1.1021571352982995e+28],[5.955180249663334e+27],[3.804282282158086e+27],[3.047699001244064e+27],[2.1280559528830833e+27],[9.368850203108295e+27],[4.328813995144812e+27],[3.1525737062503235e+27],[1.031186517064047e+28],[5.958994939068592e+27],[1.8938004448298885e+27],[2.5199469294695757e+27],[1.8203181855319794e+29],[7.395858799195713e+27],[4.595821455368876e+27]
number,[70419],[56279],[74075],[59618],[66514],[55445],[53121],[68101],[76799],[65020],[66987],[68326],[80712],[56973],[77180],[72378],[60106],[57390],[68459],[62335],[75960],[53006],[49073],[51881],[77814],[68313],[53558],[71758],[57499],[58722],[59297],[72683],[77065],[65061],[53041],[69124],[52610],[79743],[85385],[67912],[65498],[70995],[66783],[52802],[69253],[51782],[51338],[54111],[54236],[53809]
not_null,[48174],[47842],[49472],[49348],[46371],[46725],[44518],[46052],[46181],[44599],[45328],[46331],[48312],[46990],[51903],[50171],[49541],[48506],[46367],[43674],[45874],[44506],[42145],[42830],[46901],[46268],[45137],[48933],[48675],[49300],[49681],[48593],[46414],[44554],[44601],[46802],[45079],[47592],[46597],[45889],[45468],[49083],[46126],[44881],[46647],[44314],[44248],[45859],[45981],[45559]
