,rnd_tree_00.graph,rnd_tree_01.graph,rnd_tree_02.graph,rnd_tree_03.graph,rnd_tree_04.graph,rnd_tree_05.graph,rnd_tree_06.graph,rnd_tree_07.graph,rnd_tree_08.graph,rnd_tree_09.graph,rnd_tree_10.graph,rnd_tree_11.graph,rnd_tree_12.graph,rnd_tree_13.graph,rnd_tree_14.graph,rnd_tree_15.graph,rnd_tree_16.graph,rnd_tree_17.graph,rnd_tree_18.graph,rnd_tree_19.graph,rnd_tree_20.graph,rnd_tree_21.graph,rnd_tree_22.graph,rnd_tree_23.graph,rnd_tree_24.graph,rnd_tree_25.graph,rnd_tree_26.graph,rnd_tree_27.graph,rnd_tree_28.graph,rnd_tree_29.graph,rnd_tree_30.graph,rnd_tree_31.graph,rnd_tree_32.graph,rnd_tree_33.graph,rnd_tree_34.graph,rnd_tree_35.graph,rnd_tree_36.graph,rnd_tree_37.graph,rnd_tree_38.graph,rnd_tree_39.graph,rnd_tree_40.graph,rnd_tree_41.graph,rnd_tree_42.graph,rnd_tree_43.graph,rnd_tree_44.graph,rnd_tree_45.graph,rnd_tree_46.graph,rnd_tree_47.graph,rnd_tree_48.graph,rnd_tree_49.graph
estimation,[3.5416816623419265e+79],[3.1182155101911173e+81],[1.9181908610571284e+81],[4.8502450370631975e+79],[1.398291786363004e+79],[6.125625543620198e+79],[2.2766076404762694e+82],[2.5379671499060027e+78],[9.226150922269332e+79],[2.76139699360106e+80],[5.560512540585308e+80],[1.6097967998631625e+80],[1.90260048435645e+80],[7.447198787156018e+79],[3.000250716696155e+79],[5.037180590976517e+81],[8.725638209245028e+79],[1.0074572657871938e+81],[2.876638448525459e+80],[1.3962304187908014e+80],[2.490390875400192e+82],[3.842939131452374e+80],[9.75277383572019e+78],[3.3837223499945055e+79],[8.124026106394399e+78],[1.7246613511215186e+80],[5.09031153607312e+79],[1.8416409736690514e+79],[2.5031556550241917e+79],[6.919334465762376e+79],[1.565495216198409e+80],[1.0214755645214315e+79],[9.622231925729315e+79],[1.0552910832698148e+80],[3.951465606114801e+79],[2.3293654044268206e+79],[3.8828205552545124e+79],[5.5296624874488996e+79],[1.635518770918516e+80],[2.1825940461473506e+81],[1.0596839998985378e+80],[2.3477002046822098e+79],[9.827783635092564e+80],[1.9166470889957637e+79],[4.5428881318745985e+79],[4.7144951725619585e+78],[2.0102273438249736e+80],[1.3272132483665076e+81],[1.63480549983341e+80],[3.504831343524009e+79]
number,[25007],[19040],[35411],[28432],[23548],[26541],[19141],[23585],[17715],[23478],[24426],[18541],[27879],[24893],[20491],[26313],[23873],[29115],[29408],[26538],[22744],[17542],[21368],[21696],[18479],[18726],[26902],[21628],[24710],[21017],[22814],[23470],[23756],[23209],[22543],[23459],[25608],[18599],[23620],[19324],[24723],[24134],[23013],[19867],[26381],[18691],[18961],[20319],[22061],[20001]
not_null,[12497],[11753],[12516],[12630],[11437],[11606],[11651],[11470],[11152],[11776],[11471],[11508],[11446],[12149],[12550],[12791],[11822],[12284],[11516],[11252],[11496],[10959],[10589],[10830],[11149],[10903],[12037],[12619],[12588],[12659],[12650],[11581],[11186],[11420],[11243],[11345],[11294],[11297],[11745],[11407],[11640],[11708],[11501],[11759],[11669],[11327],[11544],[11893],[11330],[12372]
