,rnd_tree_00.graph,rnd_tree_01.graph,rnd_tree_02.graph,rnd_tree_03.graph,rnd_tree_04.graph,rnd_tree_05.graph,rnd_tree_06.graph,rnd_tree_07.graph,rnd_tree_08.graph,rnd_tree_09.graph,rnd_tree_10.graph,rnd_tree_11.graph,rnd_tree_12.graph,rnd_tree_13.graph,rnd_tree_14.graph,rnd_tree_15.graph,rnd_tree_16.graph,rnd_tree_17.graph,rnd_tree_18.graph,rnd_tree_19.graph,rnd_tree_20.graph,rnd_tree_21.graph,rnd_tree_22.graph,rnd_tree_23.graph,rnd_tree_24.graph,rnd_tree_25.graph,rnd_tree_26.graph,rnd_tree_27.graph,rnd_tree_28.graph,rnd_tree_29.graph,rnd_tree_30.graph,rnd_tree_31.graph,rnd_tree_32.graph,rnd_tree_33.graph,rnd_tree_34.graph,rnd_tree_35.graph,rnd_tree_36.graph,rnd_tree_37.graph,rnd_tree_38.graph,rnd_tree_39.graph,rnd_tree_40.graph,rnd_tree_41.graph,rnd_tree_42.graph,rnd_tree_43.graph,rnd_tree_44.graph,rnd_tree_45.graph,rnd_tree_46.graph,rnd_tree_47.graph,rnd_tree_48.graph,rnd_tree_49.graph
estimation,[3.7454951523720624e+118],[2.3123535143727352e+116],[7.820759037227452e+116],[3.214665528815639e+116],[7.432282419602142e+113],[8.613382840688098e+114],[1.9389880639836825e+118],[3.201695095473468e+116],[3.3403369402191524e+113],[1.151146529734304e+119],[1.1155612658135742e+117],[9.063711585208478e+115],[4.883752743177311e+115],[1.5733253370413616e+112],[5.2067768396516475e+116],[2.055595423199102e+116],[4.752908694670966e+119],[4.849010246148255e+115],[5.516947377974795e+115],[4.617460697950297e+115],[1.4082468720346933e+121],[1.7003448566684662e+116],[3.177318590320505e+114],[2.030741142311977e+115],[5.015329656513554e+113],[1.1367385314477594e+120],[2.7965436610077464e+116],[1.3162142952399046e+117],[1.3876696619009082e+114],[2.1126590914901668e+114],[9.472436232638467e+115],[1.4734994664743442e+114],[1.2348977073593724e+115],[1.7424465550293205e+116],[4.8491765205429065e+117],[9.260037915179965e+113],[3.867933767632998e+115],[5.553233047562842e+112],[3.978227705216986e+115],[9.524041775626e+115],[4.954684150587432e+114],[1.7719141013264135e+114],[8.724174863054113e+113],[2.5133063263773213e+115],[1.29172841666748e+115],[3.079354212274268e+113],[9.05428885519852e+113],[1.810067318000295e+115],[1.4117259318344564e+114],[5.478733559078008e+116]
number,[3907],[3799],[3471],[3813],[3921],[3785],[3814],[3796],[3742],[3991],[3743],[3685],[3685],[3516],[3448],[3824],[3443],[3408],[3450],[3598],[3435],[3711],[4023],[3817],[3941],[3997],[3609],[3566],[3731],[3537],[3525],[3562],[3574],[3560],[3565],[3463],[3968],[3865],[3934],[4154],[3837],[3710],[4054],[3952],[3945],[4063],[3953],[3700],[3873],[4053]
not_null,[3812],[3643],[3412],[3739],[3737],[3697],[3730],[3730],[3583],[3787],[3621],[3617],[3595],[3372],[3381],[3549],[3380],[3349],[3374],[3359],[3369],[3518],[3931],[3755],[3781],[3778],[3465],[3404],[3573],[3459],[3469],[3404],[3493],[3496],[3490],[3339],[3900],[3721],[3851],[3967],[3686],[3648],[3897],[3794],[3735],[3854],[3739],[3644],[3741],[3820]
